num_vehicles,vehicle_types,avg_speed,localWaitingTime,localStoppedVehicles,actions,tls159_phase,tls159_phase_duration,tls159_state,tls160_phase,tls160_phase_duration,tls160_state,tls161_phase,tls161_phase_duration,tls161_state
0,[],0.0,0.0,0,[5 5 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,rgGgGrrrrrrrrrrrGGrGGrG,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[5 5 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,rgGgGrrrrrrrrrrrGGrGGrG,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[4 4 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,grrrrrGGgGGgrrrrrGGrrGG,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[6 5 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,grrrrrGGgGGgrrrrrGGrrGG,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[0 3 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,rrrrrgrrrrrrggGGrrrrrrr,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[5 5 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,rrrrrgrrrrrrggGGrrrrrrr,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[4 2 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,rrrrrgrrrrrrggGGGGGrGGr,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[6 5 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,rrrrrgrrrrrrggGGGGGrGGr,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[0 4 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,grrrrrGGgGGgrrrrrGGrrGG,0,1.0,ggggggggggrrggggggggggg
0,[],0.0,0.0,0,[5 5 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,grrrrrGGgGGgrrrrrGGrrGG,0,1.0,ggggggggggrrggggggggggg
1,['truck_truck'],12.771336726612441,0.0,0,[4 0 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,rgGgGrrrrrrrrrrrGGrGGrG,0,1.0,ggggggggggrrggggggggggg
1,['truck_truck'],7.875018860815207,0.0,0,[6 5 5],0,1.0,rrrrgGGGrrrrrrrGrrrr,0,1.0,rgGgGrrrrrrrrrrrGGrGGrG,0,1.0,ggggggggggrrggggggggggg
1,['truck_truck'],0.000815092551713551,2.0,1,[0 4 5],0,1.0,GGGgrrrrrrgGgGGrrrGG,0,1.0,grrrrrGGgGGgrrrrrGGrrGG,0,1.0,ggggggggggrrggggggggggg
